sample	total	passed	passed_pct	failed	failed_pct
1PB	20565836	19670296	95.6455	895540	4.3545
2PB	28052502	26777059	95.4534	1275443	4.5466
3PB	42922911	40529623	94.4242	2393288	5.5758
3PY	42115984	38264142	90.8542	3851842	9.1458
6PY	12692918	11087504	87.3519	1605414	12.6481
9PY	15329582	13654593	89.0735	1674989	10.9265
