pos	count	rate_among_hits
1	2230	0.000176
2	9354	0.000737
3	36215	0.002853
4	6555	0.000516
5	2094	0.000165
6	4551	0.000359
7	137681	0.010847
8	2372	0.000187
9	5204	0.000410
10	30853	0.002431
11	7860485	0.619281
12	1460265	0.115046
13	1653845	0.130297
14	1455211	0.114647
15	6824	0.000538
16	242	0.000019
17	780	0.000061
18	185	0.000015
19	1913	0.000151
20	309	0.000024
21	1266	0.000100
22	682	0.000054
23	4062	0.000320
24	320	0.000025
25	424	0.000033
26	399	0.000031
27	979	0.000077
28	654	0.000052
29	413	0.000033
30	645	0.000051
31	411	0.000032
32	1007	0.000079
33	116	0.000009
34	9	0.000001
36	2	0.000000
37	7	0.000001
38	1	0.000000
39	33	0.000003
40	44	0.000003
41	41	0.000003
43	34	0.000003
48	3	0.000000
49	116	0.000009
50	489	0.000039
51	282	0.000022
52	184	0.000014
53	8	0.000001
54	1	0.000000
55	2	0.000000
57	2	0.000000
58	1	0.000000
59	1	0.000000
61	6	0.000000
62	10	0.000001
63	16	0.000001
64	6	0.000000
65	7	0.000001
66	8	0.000001
67	5	0.000000
68	92	0.000007
69	108	0.000009
70	54	0.000004
71	66	0.000005
72	10	0.000001
73	7	0.000001
74	20	0.000002
75	16	0.000001
76	10	0.000001
77	19	0.000001
78	19	0.000001
79	47	0.000004
80	24	0.000002
81	63	0.000005
82	315	0.000025
83	380	0.000030
84	501	0.000039
85	544	0.000043
86	331	0.000026
87	184	0.000014
88	75	0.000006
89	54	0.000004
90	34	0.000003
91	2	0.000000
92	2	0.000000
93	1	0.000000
94	3	0.000000
97	1	0.000000
99	4	0.000000
100	2	0.000000
101	4	0.000000
102	6	0.000000
103	8	0.000001
104	1	0.000000
105	2	0.000000
106	15	0.000001
107	10	0.000001
108	5	0.000000
109	1	0.000000
110	1	0.000000
118	1	0.000000
122	1	0.000000
125	6	0.000000
126	1	0.000000
127	1	0.000000
128	3	0.000000
