pos	count	rate_among_hits
1	2	0.000000
2	1	0.000000
3	1031	0.000177
4	56	0.000010
5	28	0.000005
6	102	0.000018
7	160	0.000027
8	14	0.000002
9	216	0.000037
10	622	0.000107
11	228	0.000039
12	254	0.000044
13	871	0.000150
14	438	0.000075
15	1867	0.000321
16	315	0.000054
17	1312	0.000225
18	441	0.000076
19	2227	0.000383
20	1314	0.000226
21	1054	0.000181
22	3548	0.000610
23	1522	0.000262
24	57832	0.009937
25	5620	0.000966
26	6281	0.001079
27	39690	0.006820
28	5623685	0.966267
29	30501	0.005241
30	22773	0.003913
31	4960	0.000852
32	3418	0.000587
33	30	0.000005
34	417	0.000072
35	84	0.000014
36	7	0.000001
37	11	0.000002
38	60	0.000010
39	10	0.000002
40	2	0.000000
42	28	0.000005
43	1	0.000000
44	3	0.000001
47	1	0.000000
48	2	0.000000
49	1	0.000000
53	2	0.000000
56	2	0.000000
57	6	0.000001
58	1	0.000000
60	1	0.000000
61	1	0.000000
63	4	0.000001
64	39	0.000007
65	3	0.000001
68	27	0.000005
69	2	0.000000
70	1	0.000000
73	2	0.000000
75	1	0.000000
76	1	0.000000
77	1	0.000000
78	3	0.000001
80	2	0.000000
81	2	0.000000
82	9	0.000002
83	6	0.000001
84	1	0.000000
85	6	0.000001
86	5	0.000001
87	3	0.000001
89	6	0.000001
90	6	0.000001
91	12	0.000002
92	11	0.000002
93	6	0.000001
94	47	0.000008
95	74	0.000013
96	1007	0.000173
97	109	0.000019
98	183	0.000031
99	1062	0.000182
100	1137	0.000195
101	1162	0.000200
102	1331	0.000229
103	481	0.000083
104	41	0.000007
105	9	0.000002
106	3	0.000001
107	2	0.000000
108	1	0.000000
109	1	0.000000
110	2	0.000000
111	9	0.000002
113	1	0.000000
114	1	0.000000
115	1	0.000000
116	3	0.000001
117	9	0.000002
118	16	0.000003
119	26	0.000004
120	22	0.000004
121	20	0.000003
122	10	0.000002
123	6	0.000001
124	3	0.000001
125	1	0.000000
126	2	0.000000
127	8	0.000001
128	8	0.000001
