pos	count	rate_among_hits
1	3	0.000000
2	462	0.000017
3	541	0.000020
4	995	0.000037
5	566	0.000021
6	571	0.000021
7	721	0.000027
8	1976	0.000074
9	1459	0.000055
10	2700	0.000102
11	6265	0.000236
12	3234	0.000122
13	5262	0.000198
14	3395	0.000128
15	5470	0.000206
16	5036	0.000189
17	7107	0.000267
18	6510	0.000245
19	21971	0.000826
20	9287	0.000349
21	18256	0.000687
22	21113	0.000794
23	27021	0.001016
24	233037	0.008766
25	46520	0.001750
26	65768	0.002474
27	252511	0.009499
28	25621635	0.963805
29	192477	0.007240
30	12851	0.000483
31	6816	0.000256
32	687	0.000026
33	46	0.000002
34	57	0.000002
35	114	0.000004
36	33	0.000001
37	40	0.000002
38	132	0.000005
39	52	0.000002
40	9	0.000000
41	1	0.000000
42	28	0.000001
43	7	0.000000
44	36	0.000001
45	2	0.000000
46	3	0.000000
47	4	0.000000
48	179	0.000007
49	5	0.000000
50	1	0.000000
51	16	0.000001
52	3	0.000000
53	1	0.000000
55	1	0.000000
56	50	0.000002
57	6	0.000000
58	14	0.000001
59	1	0.000000
60	1	0.000000
63	5	0.000000
64	178	0.000007
65	4	0.000000
66	2	0.000000
68	2	0.000000
69	2	0.000000
71	2	0.000000
72	1	0.000000
73	1	0.000000
74	1	0.000000
80	3	0.000000
83	1	0.000000
84	2	0.000000
85	1	0.000000
86	1	0.000000
87	1	0.000000
90	1	0.000000
93	1	0.000000
94	4	0.000000
95	11	0.000000
96	19	0.000001
97	269	0.000010
98	11	0.000000
99	37	0.000001
100	37	0.000001
101	63	0.000002
102	66	0.000002
103	42	0.000002
