pos	count	rate_among_hits
1	3	0.000000
2	5	0.000001
3	142	0.000019
4	24	0.000003
5	61	0.000008
6	137	0.000018
7	1218	0.000164
8	195	0.000026
9	466	0.000063
10	819	0.000110
11	255	0.000034
12	242	0.000033
13	378	0.000051
14	874	0.000118
15	590	0.000080
16	688	0.000093
17	1990	0.000268
18	4765	0.000643
19	2458	0.000331
20	1735	0.000234
21	2065	0.000278
22	4104	0.000553
23	2806	0.000378
24	78722	0.010615
25	7089	0.000956
26	9031	0.001218
27	52850	0.007127
28	7191918	0.969805
29	34361	0.004633
30	5408	0.000729
31	3762	0.000507
32	563	0.000076
33	124	0.000017
34	59	0.000008
35	65	0.000009
36	9	0.000001
37	22	0.000003
38	35	0.000005
39	13	0.000002
40	1	0.000000
41	2	0.000000
42	15	0.000002
43	2	0.000000
44	3	0.000000
45	13	0.000002
46	1	0.000000
47	2	0.000000
48	11	0.000001
50	3	0.000000
51	1	0.000000
52	1	0.000000
53	1	0.000000
56	2	0.000000
63	9	0.000001
64	73	0.000010
65	9	0.000001
66	3	0.000000
68	1	0.000000
69	2	0.000000
70	1	0.000000
71	4	0.000001
72	30	0.000004
73	1	0.000000
74	2	0.000000
75	1	0.000000
77	1	0.000000
78	4	0.000001
80	1	0.000000
81	2	0.000000
86	2	0.000000
87	3	0.000000
88	14	0.000002
89	3	0.000000
90	5	0.000001
91	1	0.000000
92	8	0.000001
93	11	0.000001
94	13	0.000002
95	88	0.000012
96	243	0.000033
97	79	0.000011
98	207	0.000028
99	778	0.000105
100	1228	0.000166
101	985	0.000133
102	1218	0.000164
103	499	0.000067
104	53	0.000007
105	1	0.000000
106	2	0.000000
107	1	0.000000
109	2	0.000000
110	1	0.000000
112	1	0.000000
113	31	0.000004
114	1	0.000000
115	3	0.000000
116	1	0.000000
117	5	0.000001
118	9	0.000001
119	22	0.000003
120	12	0.000002
121	12	0.000002
122	10	0.000001
123	5	0.000001
124	3	0.000000
125	8	0.000001
126	10	0.000001
127	7	0.000001
128	5	0.000001
