pos	count	rate_among_hits
1	2358	0.000154
2	3358	0.000219
3	44806	0.002923
4	35423	0.002311
5	2599	0.000170
6	39591	0.002583
7	86642	0.005652
8	3492	0.000228
9	4496	0.000293
10	40729	0.002657
11	10011080	0.653056
12	1919933	0.125244
13	1636744	0.106770
14	1474665	0.096197
15	3932	0.000256
16	183	0.000012
17	236	0.000015
18	178	0.000012
19	1118	0.000073
20	802	0.000052
21	1429	0.000093
22	422	0.000028
23	4793	0.000313
24	393	0.000026
25	317	0.000021
26	695	0.000045
27	387	0.000025
28	580	0.000038
29	711	0.000046
30	1097	0.000072
31	421	0.000027
32	1316	0.000086
33	185	0.000012
34	5	0.000000
35	2	0.000000
37	1	0.000000
39	58	0.000004
40	3	0.000000
41	1	0.000000
42	5	0.000000
47	2	0.000000
48	4	0.000000
49	131	0.000009
50	420	0.000027
51	194	0.000013
52	177	0.000012
53	5	0.000000
54	2	0.000000
55	2	0.000000
56	26	0.000002
57	12	0.000001
58	3	0.000000
61	13	0.000001
62	2	0.000000
63	6	0.000000
64	10	0.000001
65	5	0.000000
66	5	0.000000
67	7	0.000000
68	84	0.000005
69	93	0.000006
70	51	0.000003
71	102	0.000007
72	9	0.000001
73	7	0.000000
74	7	0.000000
75	12	0.000001
76	17	0.000001
77	26	0.000002
78	39	0.000003
79	40	0.000003
80	44	0.000003
81	71	0.000005
82	327	0.000021
83	475	0.000031
84	512	0.000033
85	611	0.000040
86	413	0.000027
87	148	0.000010
88	98	0.000006
89	39	0.000003
90	34	0.000002
91	1	0.000000
92	1	0.000000
93	1	0.000000
94	1	0.000000
95	3	0.000000
96	8	0.000001
98	2	0.000000
99	2	0.000000
100	2	0.000000
101	2	0.000000
102	5	0.000000
103	6	0.000000
104	7	0.000000
105	6	0.000000
106	17	0.000001
107	9	0.000001
108	9	0.000001
109	5	0.000000
110	4	0.000000
112	1	0.000000
118	1	0.000000
124	1	0.000000
125	13	0.000001
127	3	0.000000
128	1	0.000000
