pos	count	rate_among_hits
3	228	0.000011
4	3	0.000000
5	450	0.000021
6	24	0.000001
7	888	0.000042
8	341	0.000016
9	4612	0.000218
10	861	0.000041
11	3371	0.000159
12	3245	0.000154
13	969	0.000046
14	2543	0.000120
15	3400	0.000161
16	3226	0.000153
17	4966	0.000235
18	4075	0.000193
19	7276	0.000344
20	8228	0.000389
21	15763	0.000746
22	14845	0.000702
23	13439	0.000636
24	170420	0.008062
25	27307	0.001292
26	42777	0.002024
27	188936	0.008937
28	20489109	0.969219
29	114993	0.005440
30	8315	0.000393
31	3992	0.000189
32	529	0.000025
33	15	0.000001
34	17	0.000001
35	69	0.000003
36	9	0.000000
37	12	0.000001
38	51	0.000002
39	13	0.000001
41	5	0.000000
42	9	0.000000
43	1	0.000000
44	5	0.000000
45	1	0.000000
48	23	0.000001
51	2	0.000000
53	1	0.000000
56	4	0.000000
57	1	0.000000
59	1	0.000000
64	40	0.000002
65	15	0.000001
66	1	0.000000
68	1	0.000000
82	2	0.000000
90	2	0.000000
95	1	0.000000
96	2	0.000000
97	1	0.000000
98	4	0.000000
99	70	0.000003
100	14	0.000001
101	105	0.000005
102	144	0.000007
103	29	0.000001
104	7	0.000000
105	4	0.000000
